feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.689648001023298,0.27386793596544096
eeg_frontal_delta_power_z_within_subject__std,脑电,0.32111069028981376,0.2124227732833429
eeg_frontal_delta_power_z_within_subject__median,脑电,0.8092190421995553,0.12239820155744473
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.3183452205779671,0.017543247573949653
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7972357440706388,0.24514147267985906
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3915770597109395,0.16228117182672375
eeg_frontal_theta_power_z_within_subject__median,脑电,0.9514301735287489,0.11780799010403611
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.6405721592502431,0.014469695374204219
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7742946054947693,0.26784305556751375
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.40486434391876935,0.13932927668954645
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.9059345650780584,0.1882480830689446
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-5.111876928578569,0.01598235350412064
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6756209538729592,0.3234644420564877
eeg_frontal_beta_power_z_within_subject__std,脑电,0.2348616361848732,0.17647876763020887
eeg_frontal_beta_power_z_within_subject__median,脑电,0.7456262659544862,0.25093371075504695
eeg_frontal_beta_power_z_within_subject__slope,脑电,-1.2086389849697357,0.01951119257791374
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6717193877960748,0.2816964269762846
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.1380846834659124,0.1975637618229315
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.6850659724699204,0.22704770853768919
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.9595055493431524,0.020577108646678006
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.799652726878047,0.2284829093052229
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.462052949616112,0.14954424347240955
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.8861109271751171,0.18503329949522007
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.4063425754393104,0.01647602722383492
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.691680642738721,0.30410959650461894
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.37611083430733483,0.15128958272575063
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.7381889625690405,0.2654390951611913
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.7990915878176021,0.020554143376650014
eeg_central_delta_power_z_within_subject__mean,脑电,0.6456609991238509,0.26375453509965746
eeg_central_delta_power_z_within_subject__std,脑电,0.3652337531846168,0.20037978388514535
eeg_central_delta_power_z_within_subject__median,脑电,0.7591406159899242,0.16994029129700072
eeg_central_delta_power_z_within_subject__slope,脑电,-1.4531395931031135,0.018484595139320964
eeg_central_theta_power_z_within_subject__mean,脑电,0.6299924510294658,0.2885972116907629
eeg_central_theta_power_z_within_subject__std,脑电,-0.011335138647104115,0.1818388915708183
eeg_central_theta_power_z_within_subject__median,脑电,0.8117323519830679,0.20585738381255594
eeg_central_theta_power_z_within_subject__slope,脑电,-4.112469089776468,0.01770058320370189
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6844384367325709,0.21595286748575387
eeg_central_alpha_power_z_within_subject__std,脑电,0.36792789648908786,0.17162602969373766
eeg_central_alpha_power_z_within_subject__median,脑电,0.6410088323616966,0.1980780171390501
eeg_central_alpha_power_z_within_subject__slope,脑电,-9.935645957494822,0.01755394361142831
eeg_central_beta_power_z_within_subject__mean,脑电,0.6669088770497005,0.2210284446764231
eeg_central_beta_power_z_within_subject__std,脑电,0.4836656756792028,0.1778011903938233
eeg_central_beta_power_z_within_subject__median,脑电,0.44928491244548496,0.24056608527517245
eeg_central_beta_power_z_within_subject__slope,脑电,-4.352236962427161,0.017877754151756884
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6672653762706174,0.20559280418867465
eeg_central_gamma_power_z_within_subject__std,脑电,0.4845275849725369,0.1865661828803046
eeg_central_gamma_power_z_within_subject__median,脑电,0.3419825420675162,0.2202949146578413
eeg_central_gamma_power_z_within_subject__slope,脑电,-1.935288545736062,0.01712366597366865
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6631831483990048,0.2230341190274019
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.05845711244469154,0.1876513705455284
eeg_central_theta_alpha_z_within_subject__median,脑电,0.6222321534121262,0.22684633269314156
eeg_central_theta_alpha_z_within_subject__slope,脑电,-4.108938263406842,0.020704139865442325
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6512006675639388,0.23573972329437237
eeg_central_beta_alpha_z_within_subject__std,脑电,0.5762567430360548,0.14407902344608872
eeg_central_beta_alpha_z_within_subject__median,脑电,0.48528218985079485,0.23465410144529833
eeg_central_beta_alpha_z_within_subject__slope,脑电,-3.73561445657453,0.01833411798127518
