feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.7243787402120703,0.2700983098972847
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2970134227725314,0.23664738584059272
eeg_frontal_delta_power_z_within_subject__median,脑电,0.32282323628122644,0.4223686150996211
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.3988777703577754,0.012924830283177272
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7846568902076035,0.3114874588901515
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3101432259020187,0.21473375496265937
eeg_frontal_theta_power_z_within_subject__median,脑电,0.41705144377032266,0.5052739388781049
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.1707121550887034,0.013402245826974373
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7722446170834312,0.31055555290823444
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.1034876560265916,0.21968203667044184
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.38479663154073673,0.5418716930089769
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-1.4497800007180408,0.011549650842779188
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6935705334126396,0.3140227708003382
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.16359208235736045,0.24711281135294302
eeg_frontal_beta_power_z_within_subject__median,脑电,0.15156802036140582,0.5339341920651434
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.1422477672988487,0.013006650324442896
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6832184426036882,0.2833766404112967
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.09931202319164001,0.26495247174027764
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.08777193096796787,0.5000264460376139
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.2702005878405619,0.011981752779976897
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7515501131079583,0.26522477255016796
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.04846277497480933,0.2501404976444069
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.22342680792276226,0.46255125366849875
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.37162402477243783,0.011018945837413583
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6735759746601717,0.33120508419741146
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.15813131388554846,0.2410355939453648
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.11722795181418588,0.5389102200743685
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,0.09373372882608788,0.013556480235124698
eeg_central_delta_power_z_within_subject__mean,脑电,0.7070316602988342,0.26194864526043365
eeg_central_delta_power_z_within_subject__std,脑电,0.3012185370723198,0.2401503317841303
eeg_central_delta_power_z_within_subject__median,脑电,0.2545982801869834,0.40579182882472553
eeg_central_delta_power_z_within_subject__slope,脑电,0.41282555786190145,0.01221408888436453
eeg_central_theta_power_z_within_subject__mean,脑电,0.7130589007701231,0.27306629530676957
eeg_central_theta_power_z_within_subject__std,脑电,-0.23082861814064204,0.2445961693430666
eeg_central_theta_power_z_within_subject__median,脑电,0.2515389969713563,0.45694967978303574
eeg_central_theta_power_z_within_subject__slope,脑电,-1.0430833020368242,0.011572612131408203
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6833110904955025,0.23141935107523476
eeg_central_alpha_power_z_within_subject__std,脑电,-0.08380118481213672,0.24957818531122877
eeg_central_alpha_power_z_within_subject__median,脑电,-0.09661494964711026,0.4461844391565819
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.333983971736572,0.008543351362908498
eeg_central_beta_power_z_within_subject__mean,脑电,0.7125892472456885,0.20911039844023566
eeg_central_beta_power_z_within_subject__std,脑电,0.2518761569084317,0.23392272372728964
eeg_central_beta_power_z_within_subject__median,脑电,0.02621934129335013,0.3827873583581376
eeg_central_beta_power_z_within_subject__slope,脑电,-0.1985834115461993,0.008343035384580862
eeg_central_gamma_power_z_within_subject__mean,脑电,0.7007802887982517,0.2023905888842862
eeg_central_gamma_power_z_within_subject__std,脑电,0.3129927718033434,0.23965927841158705
eeg_central_gamma_power_z_within_subject__median,脑电,-0.13594917757563962,0.3739948577927888
eeg_central_gamma_power_z_within_subject__slope,脑电,0.29589197797689804,0.008397961805952753
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6444662578345499,0.23080874778094268
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5297463851459729,0.2828441522993956
eeg_central_theta_alpha_z_within_subject__median,脑电,0.19802121464780054,0.34593183532562194
eeg_central_theta_alpha_z_within_subject__slope,脑电,0.014185865315393564,0.009428644278270854
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6199708549167148,0.24566462075903286
eeg_central_beta_alpha_z_within_subject__std,脑电,0.15794407845933112,0.2309036063185518
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.14692178548513923,0.42575750658565115
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.19913682778369224,0.010050622475646274
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.78070111408243,0.2499423486745423
eeg_parietal_delta_power_z_within_subject__std,脑电,0.2508915029915013,0.2363623409474056
eeg_parietal_delta_power_z_within_subject__median,脑电,0.3216785449765799,0.4570512664272141
eeg_parietal_delta_power_z_within_subject__slope,脑电,0.2151861879079915,0.010820042803342148
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7746794128390437,0.2819112305336301
eeg_parietal_theta_power_z_within_subject__std,脑电,0.2891980139403074,0.21894989175804214
eeg_parietal_theta_power_z_within_subject__median,脑电,0.3576551654201794,0.4732308917114572
eeg_parietal_theta_power_z_within_subject__slope,脑电,-3.6981863549297778,0.012264574452120865
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.7189210608390199,0.2629240332058101
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.03363921070841003,0.2536167815409198
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.15697491496161176,0.4679329741468469
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-1.5277465378399802,0.009530124055564755
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.6315847529813343,0.27004723195336194
eeg_parietal_beta_power_z_within_subject__std,脑电,0.1606478233054982,0.22330888175500377
eeg_parietal_beta_power_z_within_subject__median,脑电,0.031233242538687533,0.4545279266028756
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.7045984398838812,0.011267950934182253
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6050449354817418,0.25074705225825306
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.16097534607241204,0.2328848062663914
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.06436002457148704,0.4131811674744874
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.18054845000196806,0.011004264244490015
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.7106880691871176,0.25881879634431126
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.2612692639580736,0.25263737327027286
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.23048588861063424,0.44652474017406274
